IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
548874-68-LE26;SERVICIO DE SOPORTE LICENCIAMIENTO VISUAL COBOL PARA EL INSTITUTO DE PREVISIÓN SOCIAL;LE;Publicada y disponible para ofertar;13/08/2026 12:10:47;E1/O2/RT8 - SERVICIO DE SOPORTE LICENCIAMIENTO VISUAL COBOL PARA EL INSTITUTO DE PREVISIÓN SOCIAL;USD;PUBLICADO;DISPONIBLE;70.000,00;INSTITUTO DE PREVISION SOCIAL
1602-15-LE26;ADQUISICIÓN DE LICENCIAS CLAUDE TEAM  106 dgv;LE;Publicada y disponible para ofertar;20/08/2026 08:35:46;Adquirir las licencias de Claude Team para el equipo de desarrollo, por un periodo de vigencia de 3 años;CLP;PUBLICADO;ESTIMADO;20.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
3945-20-LE26;ADQUISICION SERVICIO DE SISTEMA INFORMATIVO DE GESTION DOCUMENTAL - MUNICIPALIDAD LOS ALAMOS;LE;Publicada y disponible para ofertar;24/08/2026 15:04:42;La   necesidad      de      contratar    “ADQUISICION SERVICIO   DE 	SISTEMA     INFORMATIVO    DE     GESTION   DOCUMENTAL – MUNICIPALIDAD   LOS     ALAMOS”, conforme     a           Bases   			Administrativas, Técnicas y Anexos adjuntos.  ;CLP;PUBLICADO;DISPONIBLE;70.000.000;I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL
1126920-30-LE26;ADQUISICIÓN SISTEMA DE CONCILIACIONES BANCARIAS;LE;Publicada y disponible para ofertar;20/08/2026 13:15:00;ADQUISICIÓN DE SISTEMA DE CONCILIACIONES BANCARIAS PARA EL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE COLCHAGUA;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA
3603-32-LE26;SUSCRIPCION A MICROSOFT OFFICE 365 BUSINESS ESTAND;LE;Publicada y disponible para ofertar;25/08/2026 10:36:51;SUSCRIPCION A MICROSOFT OFFICE  365 BUSINESS ESTÁNDAR POR 12 MESES, PARA 200 USUARIOS;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE MULCHEN
2341-11-L126;ADQ 473 _ SP 30 _ DIRECCION DE INFORMATICA _ SERVICIO PARA ENVIO MASIVO DE EMAIL ;L1;Publicada y disponible para ofertar;20/08/2026 10:56:00;Adquisición de un servicio de envío de correos electrónicos masivos por 1 año, que permita gestionar campañas de comunicación interna y extrena, sin caer en calificacion de spam, segun fcha de requerimeinto adjunta.;CLP;PUBLICADO;ESTIMADO;3.000.000;I MUNICIPALIDAD DE SAN BERNARDO
1978-85-LE26;Soporte Acronis Backup Cloud y Acronis Storage;LE;Publicada y disponible para ofertar;26/08/2026 16:03:02;El propósito general de la contratación es asegurar de manera continua la disponibilidad, integridad y resguardo de la información institucional, constituyendo una herramienta estratégica e indispensable para la correcta operación y seguridad de las plataformas tecnológicas administradas por el Departamento TIC;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD DEL MAULE
2981-227-LE26;RENOVACION DE LICENCIAS ADOBE CREATIVE CLOUD;LE;Publicada y disponible para ofertar;19/08/2026 12:43:30;RENOVACION DE 13 LICENCIAS ADOBE CREATIVE CLOUD;CLP;PUBLICADO;DISPONIBLE;15.000.000;POLICIA DE INVESTIGACIONES DE CHILE
3474-51-LE26;SERVICIO ONLINE  APLICACIÓN PRUEBAS PSICOLABORAL;LE;Publicada y disponible para ofertar;25/08/2026 15:29:26;SERVICIO ONLINE DE APLICACIÓN DE PRUEBAS PSICOLABORALES PARA EL PROCESO DE ADMISIÓN Y SEGUIMIENTO PSICOLABORAL DE LOS ASPIRANTES A OFICIALES DE LA ESCUELA DE CARABINEROS DE CHILE;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;DIRECCION DE LOGISTICA DE CARABINEROS
564953-62-LP26;ACTUALIZACIÓN PLATAFORMA ERP PARA LA CORPORACIÓN;LP;Publicada y disponible para ofertar;11/08/2026 14:44:00;El objetivo de la presente licitación es contratar el servicio de implementación y soporte de ERP Dynamics Business Central;CLP;PUBLICADO;ESTIMADO;250.000.000;Corporación de Educación y Salud de Las Condes
2448-116-L126;MANTENIMIENTO Y ACTUALIZACIÓN DE SOFTWARE DE CONTROL RESOLUTIVIDAD.;L1;Publicada y disponible para ofertar;21/08/2026 09:27:23;Contratar el servicio de Mantenimiento Evolutivo y Actualización de Software de Control para el equipo médico OCT HEIDELBERG, Número de Serie SPEC-CAM-15583-S2610 , de propiedad de la I. Municipalidad de Coquimbo. El Sistema de Tomografía de Coherencia Óptica (OCT) Heidelberg Engineering SPECTRALIS, N.° de serie SPEC-CAM-15583-S2610, plataforma de diagnóstico oftalmológico basada en tecnología Spectral Domain OCT (SD-OCT) con oftalmoscopía láser confocal (cSLO), seguimiento ocular TruTrack, func;CLP;PUBLICADO;DISPONIBLE;4.526.046;I MUNICIPALIDAD DE COQUIMBO
